Código;Ubicación;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitación (mm);Temperatura (ºC);Humedad relativa (%);Radiación (W/m2);Vel. viento (m/s);Dir. viento (º)
AV01;Nava de Arévalo;2001-07-14;0030;0.00;16.25;76.90;0.00;2.49;232.00
AV01;Nava de Arévalo;2001-07-14;0100;0.00;15.87;78.60;0.00;3.09;243.20
AV01;Nava de Arévalo;2001-07-14;0130;0.00;15.60;80.30;0.00;2.85;235.80
AV01;Nava de Arévalo;2001-07-14;0200;0.00;14.91;83.10;0.00;2.66;237.40
AV01;Nava de Arévalo;2001-07-14;0230;0.00;14.58;84.60;0.00;2.17;232.60
AV01;Nava de Arévalo;2001-07-14;0300;0.00;14.43;85.30;0.00;2.29;232.70
AV01;Nava de Arévalo;2001-07-14;0330;0.00;14.25;86.20;0.00;2.36;214.20
AV01;Nava de Arévalo;2001-07-14;0400;0.00;14.14;86.90;0.00;1.79;197.20
AV01;Nava de Arévalo;2001-07-14;0430;0.00;13.61;88.00;0.53;1.63;189.40
AV01;Nava de Arévalo;2001-07-14;0500;0.00;13.06;89.60;6.23;1.34;209.20
AV01;Nava de Arévalo;2001-07-14;0530;0.00;14.17;88.10;18.78;1.60;168.50
AV01;Nava de Arévalo;2001-07-14;0600;0.00;15.04;84.10;63.54;2.35;187.40
AV01;Nava de Arévalo;2001-07-14;0630;0.00;15.65;80.10;91.30;2.67;198.40
AV01;Nava de Arévalo;2001-07-14;0700;0.00;16.10;78.00;108.30;3.21;214.50
AV01;Nava de Arévalo;2001-07-14;0730;0.00;16.54;75.00;106.70;3.83;242.60
AV01;Nava de Arévalo;2001-07-14;0800;0.00;16.86;73.20;156.40;4.33;238.60
AV01;Nava de Arévalo;2001-07-14;0830;0.00;17.57;70.50;377.70;4.37;237.90
AV01;Nava de Arévalo;2001-07-14;0900;0.00;19.08;62.84;525.70;4.64;235.20
AV01;Nava de Arévalo;2001-07-14;0930;0.00;19.56;60.34;612.50;3.90;226.00
AV01;Nava de Arévalo;2001-07-14;1000;0.00;20.63;55.65;810.00;4.01;239.80
AV01;Nava de Arévalo;2001-07-14;1030;0.00;21.67;49.05;807.00;5.01;252.80
AV01;Nava de Arévalo;2001-07-14;1100;0.00;22.42;45.82;962.00;5.20;243.90
AV01;Nava de Arévalo;2001-07-14;1130;0.00;22.75;45.59;918.00;5.26;240.70
AV01;Nava de Arévalo;2001-07-14;1200;0.00;23.17;41.51;841.00;4.97;244.30
AV01;Nava de Arévalo;2001-07-14;1230;0.00;23.53;37.71;694.30;4.78;255.30
AV01;Nava de Arévalo;2001-07-14;1300;0.00;24.04;36.75;739.00;4.71;237.90
AV01;Nava de Arévalo;2001-07-14;1330;0.00;24.05;34.25;687.30;5.57;243.60
AV01;Nava de Arévalo;2001-07-14;1400;0.00;23.27;37.84;414.70;5.15;245.40
AV01;Nava de Arévalo;2001-07-14;1430;0.00;22.87;39.93;283.10;5.28;245.80
AV01;Nava de Arévalo;2001-07-14;1500;0.00;22.81;39.19;386.70;5.58;258.20
AV01;Nava de Arévalo;2001-07-14;1530;0.00;22.83;34.01;338.90;6.23;271.20
AV01;Nava de Arévalo;2001-07-14;1600;0.00;21.79;37.79;152.10;6.32;261.20
AV01;Nava de Arévalo;2001-07-14;1630;0.00;21.14;42.75;69.23;5.62;260.50
AV01;Nava de Arévalo;2001-07-14;1700;0.40;17.97;63.42;60.36;4.59;239.40
AV01;Nava de Arévalo;2001-07-14;1730;0.20;17.00;75.90;93.60;1.50;231.00
AV01;Nava de Arévalo;2001-07-14;1800;0.00;17.26;79.90;55.23;3.18;326.70
AV01;Nava de Arévalo;2001-07-14;1830;0.00;16.45;86.40;50.94;3.12;333.20
AV01;Nava de Arévalo;2001-07-14;1900;0.00;16.09;83.90;19.49;2.56;331.80
AV01;Nava de Arévalo;2001-07-14;1930;0.00;15.92;82.10;4.04;2.01;334.50
AV01;Nava de Arévalo;2001-07-14;2000;1.00;14.99;84.50;0.17;4.05;320.40
AV01;Nava de Arévalo;2001-07-14;2030;0.40;13.65;91.00;0.00;3.14;355.70
AV01;Nava de Arévalo;2001-07-14;2100;0.00;13.78;90.70;0.00;2.51;347.30
AV01;Nava de Arévalo;2001-07-14;2130;0.00;13.76;89.90;0.00;2.53;8.43
AV01;Nava de Arévalo;2001-07-14;2200;2.20;13.38;91.40;0.00;2.11;10.11
AV01;Nava de Arévalo;2001-07-14;2230;0.80;13.00;93.00;0.00;1.50;6.33
AV01;Nava de Arévalo;2001-07-14;2300;3.60;12.91;93.40;0.00;2.16;333.00
AV01;Nava de Arévalo;2001-07-14;2330;1.60;12.36;91.10;0.00;2.38;334.50
AV01;Nava de Arévalo;2001-07-14;2400;1.40;12.38;91.90;0.00;0.60;235.10
BU01;Miranda de Ebro;2001-07-14;0030;0.00;15.41;81.10;0.00;0.53;244.20
BU01;Miranda de Ebro;2001-07-14;0100;0.00;14.83;83.20;0.00;0.62;219.60
BU01;Miranda de Ebro;2001-07-14;0130;0.00;15.16;82.40;0.00;0.52;262.10
BU01;Miranda de Ebro;2001-07-14;0200;0.00;14.25;84.80;0.00;0.49;247.60
BU01;Miranda de Ebro;2001-07-14;0230;0.00;13.82;85.70;0.00;0.22;217.80
