Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2002-04-02;0030;0.00;7.49;68.64;0.00;2.31;185.30
AV01;Nava de Arevalo;2002-04-02;0100;0.00;8.60;63.17;0.00;2.76;184.00
AV01;Nava de Arevalo;2002-04-02;0130;0.00;8.33;60.98;0.00;3.05;181.10
AV01;Nava de Arevalo;2002-04-02;0200;0.00;8.30;57.56;0.00;2.96;186.40
AV01;Nava de Arevalo;2002-04-02;0230;0.00;7.67;59.86;0.00;2.49;189.30
AV01;Nava de Arevalo;2002-04-02;0300;0.00;6.78;63.76;0.00;2.14;197.80
AV01;Nava de Arevalo;2002-04-02;0330;0.00;6.45;65.18;0.00;1.72;197.70
AV01;Nava de Arevalo;2002-04-02;0400;0.00;6.19;65.83;0.00;1.86;210.10
AV01;Nava de Arevalo;2002-04-02;0430;0.00;5.63;69.35;0.00;1.36;214.50
AV01;Nava de Arevalo;2002-04-02;0500;0.00;5.17;72.90;0.00;1.57;199.40
AV01;Nava de Arevalo;2002-04-02;0530;0.00;5.68;70.60;0.04;1.73;192.30
AV01;Nava de Arevalo;2002-04-02;0600;0.00;5.74;70.70;3.18;1.83;183.80
AV01;Nava de Arevalo;2002-04-02;0630;0.00;5.46;73.30;26.18;1.54;187.70
AV01;Nava de Arevalo;2002-04-02;0700;0.00;5.75;74.50;63.89;1.15;190.00
AV01;Nava de Arevalo;2002-04-02;0730;0.00;6.64;74.10;114.50;1.25;190.30
AV01;Nava de Arevalo;2002-04-02;0800;0.00;7.58;70.60;167.60;1.62;182.30
AV01;Nava de Arevalo;2002-04-02;0830;0.00;8.71;65.01;233.70;1.64;183.60
AV01;Nava de Arevalo;2002-04-02;0900;0.00;10.11;57.15;357.30;1.60;203.80
AV01;Nava de Arevalo;2002-04-02;0930;0.00;11.51;55.30;493.60;1.32;219.40
AV01;Nava de Arevalo;2002-04-02;1000;0.00;12.39;58.88;692.20;1.73;254.60
AV01;Nava de Arevalo;2002-04-02;1030;0.00;13.32;58.43;754.00;1.97;266.60
AV01;Nava de Arevalo;2002-04-02;1100;0.00;13.87;59.28;772.00;2.10;264.90
AV01;Nava de Arevalo;2002-04-02;1130;0.00;14.94;53.95;810.00;1.78;296.80
AV01;Nava de Arevalo;2002-04-02;1200;0.00;15.62;53.33;741.00;2.35;295.90
AV01;Nava de Arevalo;2002-04-02;1230;0.00;16.52;46.78;703.00;2.69;301.40
AV01;Nava de Arevalo;2002-04-02;1300;0.00;16.53;43.40;848.00;3.10;313.30
AV01;Nava de Arevalo;2002-04-02;1330;0.00;16.84;41.47;696.10;2.52;327.70
AV01;Nava de Arevalo;2002-04-02;1400;0.00;17.10;38.45;710.00;1.99;297.80
AV01;Nava de Arevalo;2002-04-02;1430;1.00;15.29;48.47;149.90;6.43;271.80
AV01;Nava de Arevalo;2002-04-02;1500;0.80;12.77;57.45;253.90;2.08;159.00
