Codigo,Ubicacion,Fecha (AAAA-MM-DD),Hora (HHMM),Precipitacion (mm),Temperatura (oC),Humedad relativa (%),Radiacion (W/m2),Vel. viento (m/s),Dir. viento (o)
AV01,Nava de Arevalo,2015-06-01,800.0,0.0,18.0,64.0,473.5,1.72,248.1
AV01,Nava de Arevalo,2015-06-01,830.0,0.0,19.64,58.08,565.9,1.64,281.0
AV01,Nava de Arevalo,2015-06-01,900.0,0.0,20.64,54.93,650.0,2.01,308.2
AV01,Nava de Arevalo,2015-06-01,930.0,0.0,21.5,51.94,729.0,1.73,314.5
AV01,Nava de Arevalo,2015-06-01,1000.0,0.0,22.41,47.71,796.0,1.16,321.6
AV01,Nava de Arevalo,2015-06-01,1030.0,0.0,23.73,42.6,854.0,1.45,338.8
AV01,Nava de Arevalo,2015-06-01,1100.0,0.0,24.99,36.36,903.0,1.77,261.7
AV01,Nava de Arevalo,2015-06-01,1130.0,0.0,25.52,31.88,861.0,2.68,283.0
AV01,Nava de Arevalo,2015-06-01,1200.0,0.0,26.39,28.76,946.0,3.39,282.3
AV01,Nava de Arevalo,2015-06-01,1230.0,0.0,27.48,25.02,984.0,3.87,274.6
AV01,Nava de Arevalo,2015-06-01,1300.0,0.0,27.44,24.46,914.0,3.01,279.8
AV01,Nava de Arevalo,2015-06-01,1330.0,0.0,27.41,24.15,889.0,3.37,270.6
AV01,Nava de Arevalo,2015-06-01,1400.0,0.0,27.39,26.22,892.0,3.46,271.1
AV01,Nava de Arevalo,2015-06-01,1430.0,0.0,28.1,25.75,690.9,3.71,295.4
AV01,Nava de Arevalo,2015-06-01,1500.0,0.0,27.77,26.8,655.5,3.8,310.4
AV01,Nava de Arevalo,2015-06-01,1530.0,0.0,27.15,27.69,599.1,3.13,319.6
AV01,Nava de Arevalo,2015-06-01,1600.0,0.0,26.83,28.4,392.1,3.36,296.0
AV01,Nava de Arevalo,2015-06-01,1630.0,0.0,27.04,27.51,437.8,3.69,296.3
AV01,Nava de Arevalo,2015-06-01,1700.0,0.0,27.33,27.52,432.7,3.68,287.8
AV01,Nava de Arevalo,2015-06-01,1730.0,0.0,26.71,28.81,340.3,3.84,294.0
AV01,Nava de Arevalo,2015-06-01,1800.0,0.0,25.48,32.11,137.6,3.18,309.8
AV01,Nava de Arevalo,2015-06-01,1830.0,0.0,25.35,32.75,191.0,3.36,300.0
AV01,Nava de Arevalo,2015-06-01,1900.0,0.0,24.57,34.6,85.5,2.28,297.6
AV01,Nava de Arevalo,2015-06-01,1930.0,0.0,23.06,38.44,41.6,2.53,315.3
AV01,Nava de Arevalo,2015-06-01,2000.0,0.0,21.26,42.29,6.01,1.89,321.6
AV01,Nava de Arevalo,2015-06-02,800.0,0.0,20.69,45.18,479.1,0.74,57.07
AV01,Nava de Arevalo,2015-06-02,830.0,0.0,21.69,42.72,569.9,1.07,37.38
AV01,Nava de Arevalo,2015-06-02,900.0,0.0,22.84,40.93,653.1,1.4,36.19
AV01,Nava de Arevalo,2015-06-02,930.0,0.0,23.7,39.19,731.0,1.45,24.5
AV01,Nava de Arevalo,2015-06-02,1000.0,0.0,25.04,35.32,797.0,2.07,327.0
AV01,Nava de Arevalo,2015-06-02,1030.0,0.0,25.79,33.2,856.0,2.12,317.2
AV01,Nava de Arevalo,2015-06-02,1100.0,0.0,26.88,29.79,901.0,2.09,335.5
AV01,Nava de Arevalo,2015-06-02,1130.0,0.0,27.06,28.76,932.0,2.18,353.3
AV01,Nava de Arevalo,2015-06-02,1200.0,0.0,27.46,27.67,788.0,2.33,20.97
AV01,Nava de Arevalo,2015-06-02,1230.0,0.0,27.74,26.49,757.0,1.74,332.5
AV01,Nava de Arevalo,2015-06-02,1300.0,0.0,29.19,23.97,855.0,2.29,282.8
AV01,Nava de Arevalo,2015-06-02,1330.0,0.0,29.92,21.76,877.0,3.34,299.7
AV01,Nava de Arevalo,2015-06-02,1400.0,0.0,30.39,20.49,857.0,2.2,280.3
AV01,Nava de Arevalo,2015-06-02,1430.0,0.0,29.74,20.56,725.0,2.52,303.0
AV01,Nava de Arevalo,2015-06-02,1500.0,0.0,29.85,19.07,765.0,2.86,283.9
AV01,Nava de Arevalo,2015-06-02,1530.0,0.0,30.7,18.04,741.0,2.47,264.5
AV01,Nava de Arevalo,2015-06-02,1600.0,0.0,30.56,17.46,760.0,3.75,283.7
AV01,Nava de Arevalo,2015-06-02,1630.0,0.0,31.14,14.81,768.0,3.69,294.6
AV01,Nava de Arevalo,2015-06-02,1700.0,0.0,30.25,14.83,518.5,3.39,276.0
AV01,Nava de Arevalo,2015-06-02,1730.0,0.0,29.52,15.32,397.6,3.26,264.9
AV01,Nava de Arevalo,2015-06-02,1800.0,0.0,28.86,15.71,301.0,3.2,271.3
AV01,Nava de Arevalo,2015-06-02,1830.0,0.0,28.44,16.91,207.4,2.66,267.6
AV01,Nava de Arevalo,2015-06-02,1900.0,0.0,27.31,16.67,121.3,2.39,272.5
AV01,Nava de Arevalo,2015-06-02,1930.0,0.0,25.33,20.41,46.22,1.73,264.8
AV01,Nava de Arevalo,2015-06-02,2000.0,0.0,21.08,33.78,5.81,1.3,252.2
AV01,Nava de Arevalo,2015-06-03,800.0,0.0,22.39,33.99,467.7,0.92,163.7
AV01,Nava de Arevalo,2015-06-03,830.0,0.0,24.42,28.3,560.1,0.99,27.7
AV01,Nava de Arevalo,2015-06-03,900.0,0.0,25.64,26.67,643.9,1.09,16.13
AV01,Nava de Arevalo,2015-06-03,930.0,0.0,27.24,24.98,721.0,1.36,34.65
AV01,Nava de Arevalo,2015-06-03,1000.0,0.0,27.64,24.68,788.0,1.71,48.93
AV01,Nava de Arevalo,2015-06-03,1030.0,0.0,28.9,22.01,847.0,1.42,35.04
AV01,Nava de Arevalo,2015-06-03,1100.0,0.0,29.5,20.34,902.0,2.11,352.7
AV01,Nava de Arevalo,2015-06-03,1130.0,0.0,29.83,19.91,946.0,1.95,23.09
AV01,Nava de Arevalo,2015-06-03,1200.0,0.0,30.39,19.76,1015.0,2.01,38.7
AV01,Nava de Arevalo,2015-06-03,1230.0,0.0,30.1,19.27,460.5,1.74,5.99
AV01,Nava de Arevalo,2015-06-03,1300.0,0.0,29.45,21.05,306.4,1.59,39.12
AV01,Nava de Arevalo,2015-06-03,1330.0,0.0,29.05,21.16,241.9,0.86,59.71
AV01,Nava de Arevalo,2015-06-03,1400.0,0.0,28.95,22.3,194.2,0.86,75.9
AV01,Nava de Arevalo,2015-06-03,1430.0,0.0,27.84,24.71,144.1,2.79,142.4
AV01,Nava de Arevalo,2015-06-03,1500.0,0.0,26.91,27.63,75.2,2.77,163.6
AV01,Nava de Arevalo,2015-06-03,1530.0,0.0,26.11,30.9,55.19,3.5,160.3
AV01,Nava de Arevalo,2015-06-03,1600.0,0.0,25.35,34.83,62.02,4.56,188.2
AV01,Nava de Arevalo,2015-06-03,1630.0,0.0,26.47,30.48,69.63,1.93,253.0
AV01,Nava de Arevalo,2015-06-03,1700.0,0.0,25.78,34.27,81.6,0.69,265.5
AV01,Nava de Arevalo,2015-06-03,1730.0,0.0,25.91,33.56,110.9,2.67,246.2
AV01,Nava de Arevalo,2015-06-03,1800.0,0.0,25.42,35.49,157.4,2.66,241.9
AV01,Nava de Arevalo,2015-06-03,1830.0,0.0,24.88,36.5,95.9,2.05,233.6
AV01,Nava de Arevalo,2015-06-03,1900.0,0.0,22.7,48.15,57.92,1.28,206.3
AV01,Nava de Arevalo,2015-06-03,1930.0,0.0,21.88,55.27,32.62,0.79,208.5
AV01,Nava de Arevalo,2015-06-03,2000.0,0.0,21.09,53.62,3.55,0.91,108.0
AV01,Nava de Arevalo,2015-06-04,800.0,0.0,24.25,30.75,523.4,4.03,170.8
AV01,Nava de Arevalo,2015-06-04,830.0,0.0,25.04,28.88,594.5,4.36,166.4
AV01,Nava de Arevalo,2015-06-04,900.0,0.0,25.93,26.54,657.9,4.29,168.8
AV01,Nava de Arevalo,2015-06-04,930.0,0.0,26.91,25.42,711.0,3.99,169.4
AV01,Nava de Arevalo,2015-06-04,1000.0,0.0,27.8,23.46,788.0,3.71,171.8
AV01,Nava de Arevalo,2015-06-04,1030.0,0.0,28.26,22.26,843.0,3.98,167.0
AV01,Nava de Arevalo,2015-06-04,1100.0,0.0,29.17,22.41,887.0,3.67,160.3
AV01,Nava de Arevalo,2015-06-04,1130.0,0.0,29.24,22.3,918.0,3.58,165.4
AV01,Nava de Arevalo,2015-06-04,1200.0,0.0,29.68,21.74,941.0,3.78,159.2
AV01,Nava de Arevalo,2015-06-04,1230.0,0.0,30.17,21.56,950.0,3.95,163.2
AV01,Nava de Arevalo,2015-06-04,1300.0,0.0,30.23,20.29,948.0,3.57,154.0
AV01,Nava de Arevalo,2015-06-04,1330.0,0.0,30.12,20.27,936.0,3.6,168.2
AV01,Nava de Arevalo,2015-06-04,1400.0,0.0,30.34,19.04,897.0,3.36,142.2
AV01,Nava de Arevalo,2015-06-04,1430.0,0.0,30.25,19.51,778.0,3.08,154.3
AV01,Nava de Arevalo,2015-06-04,1500.0,0.0,30.74,19.51,756.0,3.57,170.2
AV01,Nava de Arevalo,2015-06-04,1530.0,0.0,29.52,22.23,526.3,3.12,189.0
AV01,Nava de Arevalo,2015-06-04,1600.0,0.0,30.03,20.2,489.4,2.93,162.1
AV01,Nava de Arevalo,2015-06-04,1630.0,0.0,29.28,22.72,539.5,3.69,168.3
AV01,Nava de Arevalo,2015-06-04,1700.0,0.0,29.35,23.66,548.1,3.93,176.5
AV01,Nava de Arevalo,2015-06-04,1730.0,0.0,28.7,25.26,390.9,3.16,186.7
AV01,Nava de Arevalo,2015-06-04,1800.0,0.0,28.57,20.74,297.6,4.17,170.8
AV01,Nava de Arevalo,2015-06-04,1830.0,0.0,27.61,23.59,211.3,3.63,173.5
AV01,Nava de Arevalo,2015-06-04,1900.0,0.0,26.69,26.71,92.1,3.62,178.1
AV01,Nava de Arevalo,2015-06-04,1930.0,0.0,24.44,31.57,16.46,2.44,179.8
AV01,Nava de Arevalo,2015-06-04,2000.0,0.0,22.81,37.39,2.8,1.85,179.9
AV01,Nava de Arevalo,2015-06-05,800.0,0.0,21.63,32.94,372.9,4.35,170.4
AV01,Nava de Arevalo,2015-06-05,830.0,0.0,23.27,30.31,638.6,5.24,168.4
AV01,Nava de Arevalo,2015-06-05,900.0,0.0,23.26,30.08,477.3,5.65,167.4
AV01,Nava de Arevalo,2015-06-05,930.0,0.0,23.46,29.46,522.5,5.1,169.9
AV01,Nava de Arevalo,2015-06-05,1000.0,0.0,25.33,26.52,613.6,4.8,169.0
AV01,Nava de Arevalo,2015-06-05,1030.0,0.0,26.82,23.11,833.0,4.36,174.5
AV01,Nava de Arevalo,2015-06-05,1100.0,0.0,27.91,20.37,967.0,4.36,161.5
AV01,Nava de Arevalo,2015-06-05,1130.0,0.0,29.18,17.27,985.0,3.85,165.6
AV01,Nava de Arevalo,2015-06-05,1200.0,0.0,29.53,16.55,986.0,3.34,170.8
AV01,Nava de Arevalo,2015-06-05,1230.0,0.0,29.66,16.4,992.0,3.25,166.4
AV01,Nava de Arevalo,2015-06-05,1300.0,0.0,30.3,17.2,989.0,3.14,161.3
AV01,Nava de Arevalo,2015-06-05,1330.0,0.0,30.12,16.26,967.0,2.65,157.4
AV01,Nava de Arevalo,2015-06-05,1400.0,0.0,30.01,17.73,777.0,2.55,169.3
AV01,Nava de Arevalo,2015-06-05,1430.0,0.0,30.39,17.62,918.0,2.87,171.2
AV01,Nava de Arevalo,2015-06-05,1500.0,0.0,30.03,18.04,722.0,3.13,161.7
AV01,Nava de Arevalo,2015-06-05,1530.0,0.0,29.52,17.35,384.9,2.49,130.0
AV01,Nava de Arevalo,2015-06-05,1600.0,0.0,29.36,17.66,459.8,2.13,210.1
AV01,Nava de Arevalo,2015-06-05,1630.0,0.0,28.9,21.48,454.7,1.98,198.1
AV01,Nava de Arevalo,2015-06-05,1700.0,0.0,28.28,22.61,307.8,2.75,213.0
AV01,Nava de Arevalo,2015-06-05,1730.0,0.0,27.66,23.73,258.1,2.81,241.1
AV01,Nava de Arevalo,2015-06-05,1800.0,0.0,27.22,24.17,166.0,1.88,228.7
AV01,Nava de Arevalo,2015-06-05,1830.0,0.0,25.44,32.95,79.6,1.32,204.0
AV01,Nava de Arevalo,2015-06-05,1900.0,0.0,23.61,36.23,21.28,1.89,206.7
AV01,Nava de Arevalo,2015-06-05,1930.0,0.0,23.15,34.83,4.42,1.64,254.8
AV01,Nava de Arevalo,2015-06-05,2000.0,0.0,23.38,33.29,0.54,1.86,293.5
AV01,Nava de Arevalo,2015-06-06,800.0,0.0,12.46,87.9,87.0,1.04,126.2
AV01,Nava de Arevalo,2015-06-06,830.0,0.0,13.0,84.7,96.1,1.62,115.4
AV01,Nava de Arevalo,2015-06-06,900.0,0.2,13.2,86.1,92.6,3.64,91.4
AV01,Nava de Arevalo,2015-06-06,930.0,0.0,13.28,85.1,163.1,3.24,117.7
AV01,Nava de Arevalo,2015-06-06,1000.0,0.0,14.33,81.3,267.4,1.85,152.2
AV01,Nava de Arevalo,2015-06-06,1030.0,0.0,15.67,74.2,391.2,0.84,232.3
