Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2015-01-07;0030;0.00;-2.58;99.90;0.00;0.79;174.10
AV01;Nava de Arevalo;2015-01-07;0100;0.00;-2.64;100.00;0.00;0.67;90.20
AV01;Nava de Arevalo;2015-01-07;0130;0.00;-2.98;99.90;0.00;1.30;28.49
AV01;Nava de Arevalo;2015-01-07;0200;0.00;-3.04;100.00;0.00;0.91;39.22
AV01;Nava de Arevalo;2015-01-07;0230;0.00;-3.06;100.00;0.00;1.28;16.53
AV01;Nava de Arevalo;2015-01-07;0300;0.00;-3.13;100.00;0.00;1.58;25.96
AV01;Nava de Arevalo;2015-01-07;0330;0.00;-3.51;100.00;0.00;1.32;40.82
AV01;Nava de Arevalo;2015-01-07;0400;0.00;-3.51;100.00;0.00;1.24;70.10
AV01;Nava de Arevalo;2015-01-07;0430;0.00;-3.35;100.00;0.00;1.15;119.20
AV01;Nava de Arevalo;2015-01-07;0500;0.00;-3.44;100.00;0.00;1.37;118.00
AV01;Nava de Arevalo;2015-01-07;0530;0.00;-3.20;100.00;0.00;1.28;114.70
AV01;Nava de Arevalo;2015-01-07;0600;0.00;-3.51;100.00;0.00;1.47;105.40
AV01;Nava de Arevalo;2015-01-07;0630;0.00;-3.60;100.00;0.00;1.04;90.10
AV01;Nava de Arevalo;2015-01-07;0700;0.00;-3.58;100.00;0.00;1.02;97.50
AV01;Nava de Arevalo;2015-01-07;0730;0.00;-3.69;100.00;0.11;0.93;26.52
AV01;Nava de Arevalo;2015-01-07;0800;0.00;-3.87;99.80;2.80;0.95;89.80
AV01;Nava de Arevalo;2015-01-07;0830;0.00;-3.93;99.70;15.78;1.15;140.00
AV01;Nava de Arevalo;2015-01-07;0900;0.00;-4.13;99.40;36.82;1.19;111.80
AV01;Nava de Arevalo;2015-01-07;0930;0.00;-3.84;99.60;76.40;1.18;116.30
AV01;Nava de Arevalo;2015-01-07;1000;0.00;-3.84;99.60;98.10;1.08;83.30
AV01;Nava de Arevalo;2015-01-07;1030;0.00;-3.42;100.00;139.20;1.06;117.20
AV01;Nava de Arevalo;2015-01-07;1100;0.00;-3.27;100.00;154.40;0.80;123.20
AV01;Nava de Arevalo;2015-01-07;1130;0.00;-2.93;100.00;189.80;0.80;86.30
AV01;Nava de Arevalo;2015-01-07;1200;0.00;-2.62;100.00;201.90;0.89;66.80
AV01;Nava de Arevalo;2015-01-07;1230;0.00;-2.11;100.00;224.30;1.46;33.53
AV01;Nava de Arevalo;2015-01-07;1300;0.00;-1.76;100.00;217.60;1.38;36.78
AV01;Nava de Arevalo;2015-01-07;1330;0.20;-1.22;100.00;203.40;1.56;47.88
AV01;Nava de Arevalo;2015-01-07;1400;0.00;-1.07;100.00;168.80;1.46;41.36
AV01;Nava de Arevalo;2015-01-07;1430;0.00;-1.07;100.00;156.80;1.07;74.90
AV01;Nava de Arevalo;2015-01-07;1500;0.00;-0.69;100.00;137.70;1.13;56.88
