Codigo;Ubicacion;Fecha (AAAA-MM-DD);Hora (HHMM);Precipitacion (mm);Temperatura (oC);Humedad relativa (%);Radiacion (W/m2);Vel. viento (m/s);Dir. viento (o)
AV01;Nava de Arevalo;2016-02-07;0030;0.59;0.44;100.00;0.00;4.46;213.80
AV01;Nava de Arevalo;2016-02-07;0100;0.59;1.00;98.90;0.00;5.36;230.20
AV01;Nava de Arevalo;2016-02-07;0130;0.59;1.42;94.70;0.00;5.36;248.20
AV01;Nava de Arevalo;2016-02-07;0200;0.79;1.51;94.60;0.00;4.66;251.00
AV01;Nava de Arevalo;2016-02-07;0230;0.59;1.48;94.50;0.00;4.44;254.80
AV01;Nava de Arevalo;2016-02-07;0300;0.79;1.85;93.40;0.00;5.04;260.40
AV01;Nava de Arevalo;2016-02-07;0330;0.79;2.09;91.90;0.00;5.06;262.00
AV01;Nava de Arevalo;2016-02-07;0400;0.40;1.98;92.90;0.00;5.46;275.10
AV01;Nava de Arevalo;2016-02-07;0430;0.40;2.04;92.90;0.00;5.49;287.10
AV01;Nava de Arevalo;2016-02-07;0500;0.59;2.11;93.00;0.00;6.28;291.70
AV01;Nava de Arevalo;2016-02-07;0530;0.20;1.82;94.10;0.00;6.60;282.30
AV01;Nava de Arevalo;2016-02-07;0600;0.00;1.49;92.10;0.00;5.89;287.50
AV01;Nava de Arevalo;2016-02-07;0630;0.00;1.45;93.00;0.00;5.41;284.10
AV01;Nava de Arevalo;2016-02-07;0700;0.00;1.23;92.10;0.02;5.65;273.40
AV01;Nava de Arevalo;2016-02-07;0730;0.00;1.04;93.90;3.48;6.32;273.50
AV01;Nava de Arevalo;2016-02-07;0800;0.00;1.17;93.90;53.03;5.41;273.20
AV01;Nava de Arevalo;2016-02-07;0830;0.00;1.58;91.00;112.60;5.54;267.90
AV01;Nava de Arevalo;2016-02-07;0900;0.00;1.91;90.20;184.70;5.59;268.00
AV01;Nava de Arevalo;2016-02-07;0930;0.00;2.49;89.60;259.10;5.73;265.50
AV01;Nava de Arevalo;2016-02-07;1000;0.00;3.36;87.40;357.70;5.49;261.70
