Codigo,Ubicacion,Fecha (AAAA-MM-DD),Hora (HHMM),Precipitacion (mm),Temperatura (oC),Humedad relativa (%),Radiacion (W/m2),Vel. viento (m/s),Dir. viento (o)
AV01,Nava de Arevalo,2015-01-01,100.0,0.0,-3.97,86.2,0.0,1.0,188.8
AV01,Nava de Arevalo,2015-01-01,130.0,0.0,-3.82,85.4,0.0,1.53,194.2
AV01,Nava de Arevalo,2015-01-01,200.0,0.0,-4.42,84.8,0.0,0.85,226.7
AV01,Nava de Arevalo,2015-01-01,230.0,0.0,-4.91,85.2,0.0,0.43,160.7
AV01,Nava de Arevalo,2015-01-01,300.0,0.0,-4.98,89.0,0.0,1.31,191.3
AV01,Nava de Arevalo,2015-01-01,330.0,0.0,-4.51,87.4,0.0,1.51,183.6
AV01,Nava de Arevalo,2015-01-01,400.0,0.0,-4.71,87.8,0.0,1.42,188.0
AV01,Nava de Arevalo,2015-01-01,430.0,0.0,-5.69,88.9,0.0,0.95,219.2
AV01,Nava de Arevalo,2015-01-01,500.0,0.0,-4.71,88.2,0.0,1.54,189.0
AV01,Nava de Arevalo,2015-01-01,530.0,0.0,-6.27,88.4,0.0,0.84,236.1
AV01,Nava de Arevalo,2015-01-01,600.0,0.0,-5.31,90.3,0.0,1.26,189.6
AV01,Nava de Arevalo,2015-01-01,630.0,0.0,-5.48,90.6,0.0,1.13,194.2
AV01,Nava de Arevalo,2015-01-01,700.0,0.0,-5.46,90.4,0.0,1.92,180.8
AV01,Nava de Arevalo,2015-01-01,730.0,0.0,-5.44,89.5,0.3,2.0,185.1
AV01,Nava de Arevalo,2015-01-01,800.0,0.0,-5.62,89.0,7.52,1.63,193.1
AV01,Nava de Arevalo,2015-01-01,830.0,0.0,-4.8,86.7,62.35,1.26,199.4
AV01,Nava de Arevalo,2015-01-01,900.0,0.0,-2.99,82.2,139.1,1.14,170.3
AV01,Nava de Arevalo,2015-01-01,930.0,0.0,-1.43,77.7,196.9,1.29,170.5
AV01,Nava de Arevalo,2015-01-01,1000.0,0.0,0.5,73.7,229.5,0.74,178.2
AV01,Nava de Arevalo,2015-01-01,1030.0,0.0,4.0,68.63,312.6,0.21,360.0
AV01,Nava de Arevalo,2015-01-01,1100.0,0.0,4.88,65.29,368.3,0.55,48.57
AV01,Nava de Arevalo,2015-01-01,1130.0,0.0,6.63,56.93,401.3,0.39,124.9
AV01,Nava de Arevalo,2015-01-01,1200.0,0.0,7.98,49.79,423.5,0.44,126.1
AV01,Nava de Arevalo,2015-01-01,1230.0,0.0,9.07,40.8,437.1,0.37,142.0
AV01,Nava de Arevalo,2015-01-01,1300.0,0.0,8.8,42.91,436.6,0.58,43.92
AV01,Nava de Arevalo,2015-01-01,1330.0,0.0,9.64,38.16,420.3,0.91,14.06
AV01,Nava de Arevalo,2015-01-01,1400.0,0.0,9.39,35.13,390.5,1.32,26.83
AV01,Nava de Arevalo,2015-01-01,1430.0,0.0,9.59,35.42,346.8,1.32,19.39
AV01,Nava de Arevalo,2015-01-01,1500.0,0.0,9.15,47.36,293.1,1.85,341.4
AV01,Nava de Arevalo,2015-01-01,1530.0,0.0,8.84,47.1,227.9,1.75,352.3
AV01,Nava de Arevalo,2015-01-01,1600.0,0.0,8.31,51.65,157.8,1.34,353.3
AV01,Nava de Arevalo,2015-01-01,1630.0,0.0,7.28,56.27,84.5,0.74,313.9
AV01,Nava de Arevalo,2015-01-01,1700.0,0.0,4.83,67.15,18.97,1.2,323.9
AV01,Nava de Arevalo,2015-01-01,1730.0,0.0,2.21,75.5,1.95,0.38,240.7
AV01,Nava de Arevalo,2015-01-01,1800.0,0.0,-0.34,86.0,0.0,1.13,193.4
AV01,Nava de Arevalo,2015-01-01,1830.0,0.0,-1.25,90.5,0.0,1.15,195.4
AV01,Nava de Arevalo,2015-01-01,1900.0,0.0,-2.0,91.7,0.0,0.99,205.7
AV01,Nava de Arevalo,2015-01-01,1930.0,0.0,-3.29,92.9,0.0,0.58,244.6
AV01,Nava de Arevalo,2015-01-01,2000.0,0.0,-2.08,93.3,0.0,1.35,182.9
AV01,Nava de Arevalo,2015-01-01,2030.0,0.0,-2.05,92.9,0.0,1.35,186.9
AV01,Nava de Arevalo,2015-01-01,2100.0,0.0,-2.1,91.2,0.0,1.58,181.4
AV01,Nava de Arevalo,2015-01-01,2130.0,0.0,-2.37,90.4,0.0,2.11,186.0
AV01,Nava de Arevalo,2015-01-01,2200.0,0.0,-2.59,87.6,0.0,1.75,184.7
AV01,Nava de Arevalo,2015-01-01,2230.0,0.0,-2.88,87.5,0.0,1.99,187.7
AV01,Nava de Arevalo,2015-01-01,2300.0,0.0,-3.06,88.3,0.0,1.68,186.9
AV01,Nava de Arevalo,2015-01-01,2330.0,0.0,-3.3,88.8,0.0,1.2,178.2
AV01,Nava de Arevalo,2015-01-01,2400.0,0.0,-3.37,89.0,0.0,0.73,179.6
AV01,Nava de Arevalo,2015-01-02,100.0,0.0,-3.41,85.0,0.0,0.43,183.6
AV01,Nava de Arevalo,2015-01-02,130.0,0.0,-3.32,85.8,0.0,0.59,169.5
AV01,Nava de Arevalo,2015-01-02,200.0,0.0,-3.79,84.9,0.0,0.74,164.2
AV01,Nava de Arevalo,2015-01-02,230.0,0.0,-3.32,84.5,0.0,0.59,160.1
AV01,Nava de Arevalo,2015-01-02,300.0,0.0,-3.61,84.6,0.0,1.04,178.3
AV01,Nava de Arevalo,2015-01-02,330.0,0.0,-3.73,84.3,0.0,0.66,167.8
AV01,Nava de Arevalo,2015-01-02,400.0,0.0,-3.93,84.1,0.0,0.81,175.1
AV01,Nava de Arevalo,2015-01-02,430.0,0.0,-4.46,86.7,0.0,0.39,175.3
AV01,Nava de Arevalo,2015-01-02,500.0,0.0,-4.98,90.1,0.0,0.58,193.9
AV01,Nava de Arevalo,2015-01-02,530.0,0.0,-4.71,88.2,0.0,0.54,176.6
AV01,Nava de Arevalo,2015-01-02,600.0,0.0,-4.84,87.8,0.0,0.67,157.0
AV01,Nava de Arevalo,2015-01-02,630.0,0.0,-4.7,85.3,0.0,0.83,183.3
AV01,Nava de Arevalo,2015-01-02,700.0,0.0,-4.48,86.3,0.0,1.53,184.6
AV01,Nava de Arevalo,2015-01-02,730.0,0.0,-4.24,84.9,0.45,1.78,185.3
AV01,Nava de Arevalo,2015-01-02,800.0,0.0,-4.04,83.6,11.42,1.72,188.3
AV01,Nava de Arevalo,2015-01-02,830.0,0.0,-3.35,82.4,90.4,1.71,185.8
AV01,Nava de Arevalo,2015-01-02,900.0,0.0,-1.9,79.5,124.3,2.05,183.7
AV01,Nava de Arevalo,2015-01-02,930.0,0.0,-0.88,76.9,113.9,1.45,180.6
AV01,Nava de Arevalo,2015-01-02,1000.0,0.0,-0.23,76.8,126.8,0.77,174.5
AV01,Nava de Arevalo,2015-01-02,1030.0,0.0,2.09,70.6,295.0,1.1,172.5
