codigo,fecha,hora0,temperatura0,humedad0,radiacion0,hora1,temperatura1,humedad1,radiacion1,hora2,temperatura2,humedad2,radiacion2,hora3,temperatura3,humedad3,radiacion3,targetHour
AV01,2015-01-01,100.0,-3.97,86.2,0.0,130.0,-3.82,85.4,0.0,200.0,-4.42,84.8,0.0,230.0,-4.91,85.2,0.0,330.0
AV01,2015-01-01,130.0,-3.82,85.4,0.0,200.0,-4.42,84.8,0.0,230.0,-4.91,85.2,0.0,300.0,-4.98,89.0,0.0,400.0
AV01,2015-01-01,200.0,-4.42,84.8,0.0,230.0,-4.91,85.2,0.0,300.0,-4.98,89.0,0.0,330.0,-4.51,87.4,0.0,430.0
AV01,2015-01-01,230.0,-4.91,85.2,0.0,300.0,-4.98,89.0,0.0,330.0,-4.51,87.4,0.0,400.0,-4.71,87.8,0.0,500.0
AV01,2015-01-01,300.0,-4.98,89.0,0.0,330.0,-4.51,87.4,0.0,400.0,-4.71,87.8,0.0,430.0,-5.69,88.9,0.0,530.0
AV01,2015-01-01,330.0,-4.51,87.4,0.0,400.0,-4.71,87.8,0.0,430.0,-5.69,88.9,0.0,500.0,-4.71,88.2,0.0,600.0
AV01,2015-01-01,400.0,-4.71,87.8,0.0,430.0,-5.69,88.9,0.0,500.0,-4.71,88.2,0.0,530.0,-6.27,88.4,0.0,630.0
AV01,2015-01-01,430.0,-5.69,88.9,0.0,500.0,-4.71,88.2,0.0,530.0,-6.27,88.4,0.0,600.0,-5.31,90.3,0.0,700.0
AV01,2015-01-01,500.0,-4.71,88.2,0.0,530.0,-6.27,88.4,0.0,600.0,-5.31,90.3,0.0,630.0,-5.48,90.6,0.0,730.0
AV01,2015-01-01,530.0,-6.27,88.4,0.0,600.0,-5.31,90.3,0.0,630.0,-5.48,90.6,0.0,700.0,-5.46,90.4,0.0,800.0
AV01,2015-01-01,600.0,-5.31,90.3,0.0,630.0,-5.48,90.6,0.0,700.0,-5.46,90.4,0.0,730.0,-5.44,89.5,0.3,830.0
AV01,2015-01-01,630.0,-5.48,90.6,0.0,700.0,-5.46,90.4,0.0,730.0,-5.44,89.5,0.3,800.0,-5.62,89.0,7.52,900.0
AV01,2015-01-01,700.0,-5.46,90.4,0.0,730.0,-5.44,89.5,0.3,800.0,-5.62,89.0,7.52,830.0,-4.8,86.7,62.35,930.0
AV01,2015-01-01,730.0,-5.44,89.5,0.3,800.0,-5.62,89.0,7.52,830.0,-4.8,86.7,62.35,900.0,-2.99,82.2,139.1,1000.0
AV01,2015-01-01,800.0,-5.62,89.0,7.52,830.0,-4.8,86.7,62.35,900.0,-2.99,82.2,139.1,930.0,-1.43,77.7,196.9,1030.0
AV01,2015-01-01,830.0,-4.8,86.7,62.35,900.0,-2.99,82.2,139.1,930.0,-1.43,77.7,196.9,1000.0,0.5,73.7,229.5,1100.0
AV01,2015-01-01,900.0,-2.99,82.2,139.1,930.0,-1.43,77.7,196.9,1000.0,0.5,73.7,229.5,1030.0,4.0,68.63,312.6,1130.0
AV01,2015-01-01,930.0,-1.43,77.7,196.9,1000.0,0.5,73.7,229.5,1030.0,4.0,68.63,312.6,1100.0,4.88,65.29,368.3,1200.0
AV01,2015-01-01,1000.0,0.5,73.7,229.5,1030.0,4.0,68.63,312.6,1100.0,4.88,65.29,368.3,1130.0,6.63,56.93,401.3,1230.0
AV01,2015-01-01,1030.0,4.0,68.63,312.6,1100.0,4.88,65.29,368.3,1130.0,6.63,56.93,401.3,1200.0,7.98,49.79,423.5,1300.0
AV01,2015-01-01,1100.0,4.88,65.29,368.3,1130.0,6.63,56.93,401.3,1200.0,7.98,49.79,423.5,1230.0,9.07,40.8,437.1,1330.0
AV01,2015-01-01,1130.0,6.63,56.93,401.3,1200.0,7.98,49.79,423.5,1230.0,9.07,40.8,437.1,1300.0,8.8,42.91,436.6,1400.0
AV01,2015-01-01,1200.0,7.98,49.79,423.5,1230.0,9.07,40.8,437.1,1300.0,8.8,42.91,436.6,1330.0,9.64,38.16,420.3,1430.0
AV01,2015-01-01,1230.0,9.07,40.8,437.1,1300.0,8.8,42.91,436.6,1330.0,9.64,38.16,420.3,1400.0,9.39,35.13,390.5,1500.0
AV01,2015-01-01,1300.0,8.8,42.91,436.6,1330.0,9.64,38.16,420.3,1400.0,9.39,35.13,390.5,1430.0,9.59,35.42,346.8,1530.0
AV01,2015-01-01,1330.0,9.64,38.16,420.3,1400.0,9.39,35.13,390.5,1430.0,9.59,35.42,346.8,1500.0,9.15,47.36,293.1,1600.0
AV01,2015-01-01,1400.0,9.39,35.13,390.5,1430.0,9.59,35.42,346.8,1500.0,9.15,47.36,293.1,1530.0,8.84,47.1,227.9,1630.0
