Nombre del modelo	K	Horizonte	Mean	Std	Parametros	
LinearRegression	5	2	0.910009	0.003789	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	2	0.910009	0.003789	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	2	0.910009	0.003789	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	5	2	0.910009	0.003789	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	2	0.905659	0.000913	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	2	0.905659	0.000913	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	2	0.905659	0.000913	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	4	2	0.905659	0.000913	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	2	0.898350	0.008953	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	2	0.898350	0.008953	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	2	0.898350	0.008953	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	3	2	0.898350	0.008953	{u'copy_X': False, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	2	0.890677	0.006171	{u'copy_X': True, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	2	0.890677	0.006171	{u'copy_X': True, u'fit_intercept': False}	{u'copy_X': True, u'fit_intercept': True}
LinearRegression	2	2	0.890677	0.006171	{u'copy_X': False, u'fit_intercept': True}	{u'copy_X': True, u'fit_intercept': True}
